asn,isp
2792,Deutsche Telekom AG
2799,Polismyndigheten
2818,BBC
2821,MAXNET sp. z o.o.
2824,Deutsche Bank AG
2827,Kelsey Hayes Corporation
2828,Verizon Business
2830,Verizon Nederland B.V.
2831,Lulea Tekniska Universitet
2832,Vetenskapsradet / SUNET
2833,Umea University
2834,Uppsala University
2836,Bengt Arne Gorden Data
2837,Karolinska Institutet
2838,Stockholm University
2839,Kungliga Tekniska Hogskolan
2840,Stiftelsen Goteborgs Studentbostader
2841,Chalmers University of Technology
2842,Goteborgs universitet
2843,Linkopings universitet
2845,Lund University
2846,Lund University
2847,Kauno Technologijos Universitetas
2848,Federal State Budgetary Educational Institution of Higher Education Lomonosov M
2850,University College Dublin
2851,ColocationIX GmbH
2852,CESNET z.s.p.o.
2854,LLC Orange Business Services
2856,British Telecommunications PLC
2857,Johannes Gutenberg-Universitaet Mainz
2859,Resilans AB
2860,NOS COMUNICACOES S.A.
2861,Udo Steinegger
2863,Centor AB
2864,PE Raniuk Mikola Bogdanovich
2865,EVRY Sweden AB
2872,Netcity Bilisim Teknolojileri Yazilim Internet Ve Iletisim Hizmetleri A.S
2875,Joint Institute for Nuclear Research
2877,LSC SIA
2886,EDGEMICRO CORP.
2894,California Department of Water Resources
2895,OOO FREEnet Group
2897,Georgia Technology Authority
2900,Arizona Tri University Network
2901,Oso Grande Technologies Inc.
2902,University of Wyoming
2903,Madison-Oneida BOCES
2904,Universidad Autonoma De Ciudad Juarez
2906,Netflix Streaming Services Inc.
2907,Research Organization of Information and Systems National Institute of Informa
2909,Citicorp
2912,Citicorp
2914,NTT America Inc.
2915,SoftBank Corp.
2920,Los Angeles County Office of Education
2923,TIAA-CREF
2924,Equifax Inc.
2928,Burlington Coat Factory Warehouse
2933,Real/Time Communications
2936,National Energy Research Scientific Computing Center
2939,State of South Carolina
2941,OnePartner LLC
3043,Amphibian Media Corporation
3058,Federal State Institution Federal Scientific Research Institute for System Ana
3060,York Technical College
3061,ProvDotNet LLC
3064,Ntirety Inc.
3066,Robert E. Seastrom
3067,Gijima Holdings (PTY) Limited
3073,Citicorp
3081,Citicorp
3083,Credit Suisse Group
3084,Credit Suisse Group
3087,Credit Suisse Group
3095,Credit Suisse Group
3096,Credit Suisse Group
3104,Credit Suisse Group
3107,Credit Suisse Group
3108,Credit Suisse Group
3112,OARnet
3128,University of Wisconsin System
3130,RGnet OU
3131,Tele-Media Solutions
