Channel Name,EPG Code (tvg-id),ID
RTM plus Liberecko,programandroid-1208,1208
RTV PD,programandroid-15426,15426
RTVS 24,mujtvprogram-1016,1016
RTVS 24,programandroid-1324,1324
RTVS 24 HD,horizon-10193,lgi-obolite-sk-prod-master:10193
RTVS Sport HD,horizon-10186,lgi-obolite-sk-prod-master:10186
RTVS Šport,mujtvprogram-928,928
RTVS Šport,programandroid-1512,1512
Rádio Vlna,programandroid-1127,1127
SAT 1,horizon-10169,lgi-obolite-sk-prod-master:10169
Senior,programandroid-1310,1310
Senzi,mujtvprogram-364,364
SENZI,programandroid-833,833
SENZI HD,horizon-10016,lgi-obolite-sk-prod-master:10016
Severka,programandroid-1164,1164
Seznam.cz TV,programandroid-1192,1192
Seznam.cz TV HD,horizon-10025,lgi-obolite-sk-prod-master:10025
Skvele TV,programandroid-15471,15471
Sky News,horizon-10197,lgi-obolite-sk-prod-master:10197
Skylink 7,mujtvprogram-723,723
Slager muzika,horizon-10102,lgi-obolite-sk-prod-master:10102
Slager original,horizon-10101,lgi-obolite-sk-prod-master:10101
Slager Premium HD,horizon-10103,lgi-obolite-sk-prod-master:10103
Slager TV,horizon-10157,lgi-obolite-sk-prod-master:10157
Slovácko,programandroid-544,544
Sorozat+,horizon-10155,lgi-obolite-sk-prod-master:10155
Spartak TV,programandroid-1143,1143
Spektrum,mujtvprogram-10,10
Spektrum,programandroid-7,7
Spektrum HD,horizon-10060,lgi-obolite-sk-prod-master:10060
Spektrum home,horizon-10061,lgi-obolite-sk-prod-master:10061
Spektrum Home,mujtvprogram-30,30
Spektrum Home,programandroid-77,77
Sport 1,mujtvprogram-61,61
Sport 1 HD,horizon-10074,lgi-obolite-sk-prod-master:10074
Sport 2,mujtvprogram-93,93
Sport 2 HD,horizon-10075,lgi-obolite-sk-prod-master:10075
Sport 5,horizon-10076,lgi-obolite-sk-prod-master:10076
Sport 5,programandroid-197,197
Sport1,programandroid-75,75
Sport2,programandroid-221,221
Sport5,o2-84,Sport5
Stingray Classica,StingrayClassica.ca,Brava+HDTV
Stingray Classica,mujtvprogram-233,233
Stingray CMusic,StingrayCMusic.ca,C+Music+TV
Stingray CMusic,mujtvprogram-110,110
STINGRAY CMUSIC,o2-129,C Music TV
Stingray Djazz,StingrayDjazz.nl,DJazz
Stingray IConcerts,StingrayiConcerts.ca,iConcerts
Stingray iConcerts,mujtvprogram-234,234
Story 4,horizon-10158,lgi-obolite-sk-prod-master:10158
STV1,programandroid-10,10
STV2,programandroid-11,11
Super RTL,horizon-10168,lgi-obolite-sk-prod-master:10168
Super TV2,horizon-10159,lgi-obolite-sk-prod-master:10159
TA3,mujtvprogram-192,192
TA3,o2-144,TA3
TA3,programandroid-42,42
TA3 HD,horizon-10012,lgi-obolite-sk-prod-master:10012
TDT,programandroid-15428,15428
Telecafe,horizon-10177,lgi-obolite-sk-prod-master:10177
Televize Seznam,mujtvprogram-606,606
Televize Seznam HD,o2-11,Televize Seznam HD
Televízia Dolný Kubín,programandroid-15429,15429
Televízia Východ,programandroid-1364,1364
The Fishing and Hunting,programandroid-207,207
TIK,programandroid-194,194
TLC,mujtvprogram-276,276
TLC,o2-111,TLC
TLC,programandroid-549,549
TLC HD,horizon-10062,lgi-obolite-sk-prod-master:10062
TNT,o2-151,TNT
Top Kids,programandroid-1236,1236
Travel Channel,mujtvprogram-105,105
Travel Channel,programandroid-104,104
Travel Channel HD,horizon-10064,lgi-obolite-sk-prod-master:10064
Travelxp HD,mujtvprogram-582,582
Travelxp HD,programandroid-1199,1199
TRT World,horizon-10119,lgi-obolite-sk-prod-master:10119
Tuki,TukiTV.sk,%8Duki
Turbo TV,programandroid-15440,15440
TurboTV HD,horizon-10195,lgi-obolite-sk-prod-master:10195
TV 7,TV7.sk,TV7
TV 8,mujtvprogram-268,268
TV Barrandov,mujtvprogram-89,89
TV Barrandov HD,o2-25,Barrandov HD
TV Bratislava,programandroid-735,735
TV Brno 1,programandroid-1190,1190
TV Central,TVCentral.sk,CETV
TV DAJTO,programandroid-683,683
TV Hronka,programandroid-15450,15450
TV Levoča,programandroid-1240,1240
TV Lux,mujtvprogram-304,304
TV LUX HD,horizon-10013,lgi-obolite-sk-prod-master:10013
TV Natura,TVNatura.cz,TV+Natura
TV Natura,programandroid-1244,1244
TV Noe,mujtvprogram-75,75
TV Noe,o2-184,TV Noe
TV OSEM,programandroid-241,241
TV Paprika,horizon-10063,lgi-obolite-sk-prod-master:10063
TV Paprika,mujtvprogram-29,29
TV Paprika HU,horizon-10151,lgi-obolite-sk-prod-master:10151
TV Povazie,TVPovazie.sk,TV+Pova%9Eie
TV Považie,programandroid-1173,1173
TV RAJ,programandroid-1174,1174
TV Raj HD,horizon-10038,lgi-obolite-sk-prod-master:10038
TV Romana,horizon-10184,lgi-obolite-sk-prod-master:10184
TV Ruzinov HD,horizon-10039,lgi-obolite-sk-prod-master:10039
TV Ružinov,programandroid-1253,1253
TV SEN,programandroid-15321,15321
TV Severka,TVSeverka.sk,Severka
TV Vega,TVVega.sk,Vega
TV Východ,TVVychod.sk,Telev%EDzia+V%FDchod
TV1000 Ruskoe Kino,o2-152,TV1000 Ruskoe Kino
TV2,horizon-10148,lgi-obolite-sk-prod-master:10148
TV2Sef,horizon-10160,lgi-obolite-sk-prod-master:10160
TV4,horizon-10150,lgi-obolite-sk-prod-master:10150
TV7,programandroid-1194,1194
TV8,horizon-10015,lgi-obolite-sk-prod-master:10015
TV9 KTV,programandroid-1013,1013
TVE,o2-160,TVE
TVP Polonia,horizon-10118,lgi-obolite-sk-prod-master:10118
TVP Polonia,o2-161,TVP Polonia
UATV,horizon-10190,lgi-obolite-sk-prod-master:10190
Up Network,UpNetwork.cz,UP+NETWORK
UP Network,mujtvprogram-570,570
UP NETWORK,programandroid-1169,1169
UTV,programandroid-15410,15410
V1,programandroid-706,706
Vega,programandroid-1165,1165
Viasat Explore HD,horizon-10065,lgi-obolite-sk-prod-master:10065
Viasat Explore HD,o2-53,Viasat Explore
Viasat Explorer,mujtvprogram-13,13
Viasat Explorer,programandroid-69,69
Viasat History,mujtvprogram-14,14
Viasat History,programandroid-70,70
Viasat History HD,horizon-10066,lgi-obolite-sk-prod-master:10066
Viasat History HD,o2-54,Viasat History
Viasat Nature,mujtvprogram-207,207
Viasat Nature,programandroid-249,249
Viasat Nature HD,horizon-10067,lgi-obolite-sk-prod-master:10067
Viasat Nature HD,o2-55,Viasat Nature
Vixen,mujtvprogram-892,892
volant.tv,programandroid-15403,15403
VOX,horizon-10170,lgi-obolite-sk-prod-master:10170
VOX,o2-158,VOX
Vremja,horizon-10175,lgi-obolite-sk-prod-master:10175
WAU,mujtvprogram-349,349
WAU,programandroid-718,718
WAU HD,horizon-10009,lgi-obolite-sk-prod-master:10009
WELT,horizon-10164,lgi-obolite-sk-prod-master:10164
ZAK,programandroid-848,848
Zemplín,programandroid-1315,1315
Západoslovenská televízia,programandroid-15409,15409
Ócko,Ocko.cz,%D3%E8ko
Ócko Black,OckoBlack.cz,%D3%E8ko+Black
Ócko Expres,OckoExpres.cz,%D3%E8ko+Expres
Ócko Star,OckoStar.cz,%D3%E8ko+Star
ÓČKO,mujtvprogram-19,19
Óčko,programandroid-53,53
Óčko Black,programandroid-1242,1242
Óčko Black HD,mujtvprogram-727,727
ÓČKO EXPRES,mujtvprogram-371,371
Óčko Expres,o2-130,Óčko Expres
Óčko Expres,programandroid-831,831
Óčko HD,o2-122,Óčko
ÓČKO STAR,mujtvprogram-352,352
Óčko Star,o2-121,Óčko Gold
Óčko Star,programandroid-736,736
ČT :D,mujtvprogram-357,357
ČT :D,programandroid-805,805
ČT :D HD / ČT art HD,o2-99,ČT :D HD / ČT art HD
ČT art,mujtvprogram-358,358
ČT art,programandroid-804,804
ČT sport,mujtvprogram-18,18
ČT sport HD,o2-76,ČT sport HD
ČT1,mujtvprogram-1,1
ČT1,programandroid-2,2
ČT1 HD,o2-1,ČT1 HD
ČT1 JM,o2-181,ČT1 Jih
ČT1 SM,o2-180,ČT1 Sever
ČT2,mujtvprogram-2,2
ČT2,programandroid-3,3
ČT2 HD,o2-2,ČT2 HD
ČT24,mujtvprogram-24,24
ČT24,programandroid-65,65
ČT24 HD,o2-17,ČT24 HD
ČT4 Sport,programandroid-73,73
Šláger Originál,o2-120,Šlágr TV
Šlágr Muzika,programandroid-1198,1198
Šlágr Originál,programandroid-684,684
Šlágr Premium,mujtvprogram-841,841
Šlágr Premium,programandroid-1367,1367
Šuriansky spravodaj,programandroid-15427,15427
Ťuki,programandroid-1021,1021
