316;CRo RADIO PRAGUE Int;3-3233-8061
317;CRo BRNO;3-3233-8062
318;CRo C.BUDEJOVICE;3-3233-8063
319;CRo H.KRALOVE;3-3233-8064
320;CRo KARLOVY VARY;3-3233-8065
321;CRo LIBEREC;3-3233-8066
322;CRo VYSOCINA;3-3233-8067
323;CRo PARDUBICE;3-3233-8068
324;CRo PLZEN;3-3233-8069
325;CRo OLOMOUC;3-3233-8070
326;CRo OSTRAVA;3-3233-8071
327;CRo SEVER;3-3233-8072
328;CRo ZLIN;3-3233-8073
329;BEAT JM;3-3234-4941
330;BEAT JZ;3-3234-4943
331;BEAT SM;3-3234-4942
332;BEAT SV;3-3234-4944
333;Radio Beat;3-3234-4940
334;COUNTRY RADIO;3-3234-4945
335;COUNTRY JZ;3-3234-4946
336;COUNTRY SV;3-3234-4947
337;Proglas;3-3214-14150
338;Pyramida;3-3234-4927
339;PROSTOR;3-3234-4939
340;OE1;1-1115-13121
341;OE1 DD;1-1115-13122
342;OE2B;1-1115-13125
343;OE2K;1-1115-13131
344;OE2N;1-1115-13124
345;OE2O;1-1115-13126
346;OE2S;1-1115-13127
347;OE2ST;1-1115-13130
348;OE2T;1-1115-13128
349;OE2V;1-1115-13129
350;OE2W;1-1115-13123
351;OE3;1-1115-13133
352;Hitradio OE3;1-1117-13013
353;Sunlite Radio;3-3202-6193
354;Radio Maria;1-1115-13140
355;Antenne Bayern;133-7-170
356;Bayern 1;1-1039-10400
357;Bayern 2;1-1039-10401
358;Bayern3;1-1039-10402
359;Bayern4Klassik;1-1039-10403
360;BR24;1-1039-10404
361;BR Schlager;1-1039-10406
362;PULS;1-1039-10407
363;BR Heimat;1-1039-10408
364;hr1;1-1061-10465
365;hr2;1-1061-10466
366;hr3;1-1061-10467
367;hr4;1-1061-10468
368;You FM;1-1061-10469
