345;RTS 2 HD;3-3211-20002
346;SUPERSTAR TV HD;3-3211-20003
347;Superstar 2 TV HD;3-3211-20012
348;Agro TV HD;3-3211-20018
349;Dexy TV;3-3211-20019
350;Balkan Sport 1;3-3211-20025
351;RTS Klasika;3-3211-20079
352;RTS Život;3-3211-20090
353;RTS Drama;3-3211-20091
354;RTS Kolo;3-3211-20092
355;RTS Trezor;3-3211-20093
356;RTS Muzika;3-3211-20094
357;RTS Poletarac;3-3211-20095
358;RTS 3 HD;3-3211-20098
359;RTS Svet HD;3-3211-20099
360;Dox TV;3-3211-20131
361;Blic TV HD;3-3211-20164
362;M1;3-3211-20210
363;Arena_Sport 5;3-3211-20211
364;RTL;3-3211-20212
365;Story 4;3-3211-20214
366;RTL KETTŐ;3-3211-20216
367;Duna;3-3211-20217
368;Duna world;3-3211-20218
369;Radio Beograd 1;3-3211-20820
370;Radio Beograd 2;3-3211-20821
371;Radio Beograd 202;3-3211-20822
372;AS FM radio;3-3211-20850
373;Play radio;3-3211-20851
374;DOCUBOX;3-3212-14051
375;Paramount Network;3-3212-14052
376;Nova Sport 3 HD;3-3212-14054
377;Nova Sport 4 HD;3-3212-14055
378;duck TV DUT;3-3212-14068
379;AMC;3-3212-14075
380;TV Paprika;3-3212-14078
381;Prime;3-3213-15201
382;RTL KETTO HD;3-3213-15202
383;RTL HAROM;3-3213-15203
384;RTL GOLD;3-3213-15204
385;SuperTV2;3-3213-15206
386;TV2;3-3213-15207
387;TV4;3-3213-15208
388;Extreme Sports Channel;3-3213-15212
389;RTL HD;3-3213-15213
390;STORY4 HU;3-3213-15214
391;Markiza International;3-3214-14112
392;Nova Gold;3-3214-14113
393;Nova Fun HD;3-3214-14114
394;Nova Lady;3-3214-14115
395;Penthouse Gold;3-3214-14119
396;Penthouse Reality TV;3-3214-14121
397;Penthouse Reality TV CZ;3-3214-14122
398;CANAL+ Sport (CZ);3-3214-14131
399;CANAL+ Sport (SK);3-3214-14132
400;Canal+ Sport 4 TEST;3-3214-14135
401;Proglas;3-3214-14150
402;Cinemax HD;3-3216-15404
403;Filmbox Family;3-3216-15412
404;Newsmax HD;3-3216-15419
405;.;3-3217-6100
406;Stingray Classica HD;3-3217-6101
407;iConcert;3-3217-6102
408;AutoMotorSport HD;3-3217-6103
409;SES Demo HD;3-3217-6110
410;RTS Nauka;3-3217-6121
411;RTS Poletarac 2;3-3217-6122
412;JOJ Family HD;3-3219-13136
413;Seznam.cz HD;3-3219-13147
414;Nat Geo HD;3-3220-770
415;National Geographic Wild HD;3-3220-772
416;National Geographic Wild HD DUT;3-3220-774
417;HBO HD;3-3220-775
418;Stingray CMusic;3-3220-781
419;Stingray CMusic CZ;3-3220-782
420;Love Nature HD INT;3-3220-794
421;Love Nature HD BNL;3-3220-795
422;HBO2 HD;3-3221-15603
423;HBO3 HD;3-3221-15604
424;Filmbox Premium HD;3-3221-15605
425;Cinemax2 HD;3-3221-15606
426;Film1 Family;3-3222-20910
427;Film1 Drama;3-3222-20915
428;Film1 Action;3-3222-20920
429;Ziggo Sport Voetbal;3-3222-20925
430;Ziggo Sport Golf;3-3222-20930
431;SBS9;3-3222-20945
432;MENT TV;3-3222-20949
433;Eclips TV;3-3222-20954
434;Film1 Premiere HD;3-3222-20955
435;Ziggo Sport Select HD;3-3222-20960
436;NGC HD;3-3222-20965
437;History NL;3-3222-21107
438;VTM Gold;3-3222-21110
439;Ketnet;3-3222-21112
440;VTM NON-STOP DOKTERS;3-3222-21116
441;VTM 3;3-3222-21120
442;VTM 4;3-3222-21122
443;Play5;3-3222-21126
444;Man-X;3-3222-21124
445;MNM;3-3222-21210
446;Studio Brussel;3-3222-21211
447;Klara;3-3222-21212
448;Sky Radio;3-3222-21227
449;Play7;3-3222-21127
450;Eleven Sports Pro League 1 NL;3-3222-21228
451;Sport 10 HD;3-3222-21229
452;EarthxTV;3-3222-21233
453;Chamber TV HD;3-3224-5225
454;RTL Tele Letzebuerg 23.5;3-3224-5240
455;RTL Radio Letzebuerg;3-3224-5245
456;Radio 100.7 Letzebuerg;3-3224-5246
457;LX9SES;3-3224-5282
458;NET5 HD;3-3225-21020
459;VRT 1;3-3225-21025
460;NPO1 HD;3-3225-21029
461;VRT Canvas HD;3-3225-21030
462;Veronica/DisneyXD HD;3-3225-21035
463;NPO3 HD;3-3225-21040
464;24Kitchen;3-3225-21055
465;BBC First ;3-3225-21168
466;Omrop Fryslan Televisie;3-3225-21069
467;TV Drenthe;3-3225-21071
468;TV Gelderland;3-3225-21072
469;TV Oost;3-3225-21074
470;TV Noord;3-3225-21093
471;Omroep Brabant Televisie;3-3225-21096
472;Nickelodeon;3-3225-21108
473;Comedy Central NL;3-3225-21109
474;Paramount Network;3-3225-21131
475;TV Oranje;3-3225-21138
476;MTV NL;3-3225-21132
477;100% NL;3-3225-21075
478;BNR Nieuwsradio;3-3225-20177
479;NPO Radio1;3-3225-21080
480;NPO Radio2;3-3225-21081
481;NPO 3FM;3-3225-21082
482;NPO KLASSIEK;3-3225-21083
483;NPO Radio5;3-3225-21084
484;Radio 10;3-3225-21085
485;Radio Gelderland;3-3225-21086
486;Radio Oost;3-3225-21087
487;Radio 538;3-3225-21088
488;SLAM! ;3-3225-21090
489;CT 1 SM HD;3-3233-8007
490;CT 1 JM HD;3-3233-8008
491;CT 1 SVC HD;3-3233-8010
492;CT 1 JZC HD;3-3233-8012
493;CRo RADIOZURNAL;3-3233-8051
494;CRo DVOJKA;3-3233-8052
495;CRo VLTAVA;3-3233-8053
496;CRo PLUS;3-3233-8054
497;CRo RADIO WAVE;3-3233-8055
498;CRo RADIO JUNIOR;3-3233-8056
499;CRo D-DUR;3-3233-8057
500;CRo JAZZ;3-3233-8058
501;CRo RADIO PRAHA;3-3233-8059
502;CRo REGION;3-3233-8060
503;CRo RADIO PRAGUE Int;3-3233-8061
504;CRo BRNO;3-3233-8062
505;CRo C.BUDEJOVICE;3-3233-8063
506;CRo H.KRALOVE;3-3233-8064
507;CRo KARLOVY VARY;3-3233-8065
508;CRo LIBEREC;3-3233-8066
509;CRo VYSOCINA;3-3233-8067
510;CRo PARDUBICE;3-3233-8068
511;CRo PLZEN;3-3233-8069
512;CRo OLOMOUC;3-3233-8070
513;CRo OSTRAVA;3-3233-8071
514;CRo SEVER;3-3233-8072
515;CRo ZLIN;3-3233-8073
516;Slovensko;3-3234-4921
517;ReginaBA;3-3234-4922
518;ReginaBB;3-3234-4923
519;ReginaKE;3-3234-4924
520;Devin;3-3234-4925
521;Radio_FM;3-3234-4926
522;Pyramida;3-3234-4927
523;Litera;3-3234-4928
524;Junior;3-3234-4929
525;PatriaFM;3-3234-4930
526;PatriaRD;3-3234-4931
527;Slovakia;3-3234-4932
528;Melody Z;3-3234-4933
529;Melody S;3-3234-4934
530;Melody V;3-3234-4935
531;Radio Lumen;3-3234-4936
532;PROSTOR;3-3234-4939
533;BEAT;3-3234-4940
534;BEAT JM;3-3234-4941
535;BEAT SM;3-3234-4942
536;BEAT JZ;3-3234-4943
537;BEAT SV;3-3234-4944
538;COUNTRY JM;3-3234-4945
539;COUNTRY JZ;3-3234-4946
540;COUNTRY SV;3-3234-4947
541;BEAT V;3-3234-4950
542;Expres Z;3-3234-4951
543;Expres S;3-3234-4952
544;Expres V;3-3234-4953
545;Europa 2 Z;3-3234-4954
546;Europa 2 S;3-3234-4955
547;Europa 2 V;3-3234-4956
548;FUNRADIO Z;3-3234-4957
549;FUNRADIO S;3-3234-4958
550;FUNRADIO V;3-3234-4959
551;RTS Nauka;3-3234-5001
552;RTS Poletarac 2;3-3234-5002
553;VLNA ZS;3-3234-5159
554;VLNA SS;3-3234-5160
555;VLNA VS;3-3234-5161
556;AutoMotorSport HD;3-3234-5170
557;iConcert;3-3234-5171
558;Stingray Classica HD;3-3234-5172
559;Star Life HD;3-3236-20067
560;Star Crime HD;3-3236-20068
561;ATV HD;3-3236-20111
562;RTRS Plus;3-3236-20119
563;Discovery Channel;3-3236-20120
564;BBC Earth;3-3236-20121
565;Animal Planet;3-3236-20122
566;National Geographic;3-3236-20123
567;National Geographic Wild;3-3236-20124
568;History 2;3-3236-20125
569;Viasat History;3-3236-20126
570;Viasat Explore;3-3236-20127
571;Arena Premium_2;3-3236-20128
572;ID;3-3236-20132
573;Balkan Sport 2;3-3236-20133
574;KCN 1;3-3236-20134
